number	bait	prey	IPTM	PTM	IPTMavg	PTMavg	RATIO	PEAK	PEAKavg	scaled_PEAK	scaled_PEAKavg	max_scaled_PEAK	mean_top3_scaled_PEAK
979	hsDDRGK1	Q9ULD2	0.174:0.169:0.172:0.163:0.162	0.211:0.222:0.196:0.215:0.215	0.168	0.2118	0.793201	21.81:25.06:23.5:26.12:25.92	24.482	0.273:0.165:0.217:0.129:0.136	0.184	0.273	0.21833333333333335
486	hsUFL1	Q8WUW1	0.428:0.387:0.37:0.336:0.298	0.448:0.47:0.463:0.443:0.475	0.3638	0.4598	0.791214	3.09:6.03:5.67:4.34:9.66	5.758	0.897:0.799:0.811:0.855:0.678	0.808	0.897	0.8543333333333334
369	hsUFL1	Q8IX07	0.308:0.278:0.267:0.24:0.236	0.354:0.323:0.335:0.335:0.333	0.2658	0.336	0.791071	2.3:3.56:2.97:4.96:12.2	5.198	0.923:0.881:0.901:0.835:0.593	0.827	0.923	0.9016666666666667
1263	hsDDRGK1	Q6ZN04	0.273:0.207:0.128:0.125:0.127	0.233:0.225:0.213:0.215:0.204	0.172	0.218	0.788991	6.97:13.41:22.45:24.64:19.64	17.422	0.768:0.553:0.252:0.179:0.345	0.419	0.768	0.5553333333333333
977	hsDDRGK1	Q6P5Q4	0.317:0.288:0.268:0.241:0.224	0.358:0.351:0.339:0.331:0.32	0.2676	0.3398	0.78752200000000006	2.93:3.37:4.55:7.86:10.42	5.826	0.902:0.888:0.848:0.738:0.653	0.806	0.902	0.8793333333333333
931	hsDDRGK1	P57071	0.279:0.182:0.174:0.17:0.168	0.25:0.244:0.248:0.248:0.246	0.1946	0.2472	0.78721699999999994	8.39:20.22:21:19.52:23.17	18.46	0.72:0.326:0.3:0.349:0.228	0.385	0.72	0.46499999999999997
666	hsUFL1	Q13596	0.488:0.468:0.425:0.157:0.153	0.489:0.482:0.466:0.357:0.358	0.3382	0.4304	0.785781	5.53:5.82:8.22:22.89:23.02	13.096	0.816:0.806:0.726:0.237:0.233	0.563	0.816	0.7826666666666666
1103	hsDDRGK1	Q96BY9	0.344:0.326:0.26:0.153:0.134	0.355:0.343:0.318:0.27:0.269	0.2434	0.311	0.782637	2.68:4.66:6.6:10.43:9.95	6.864	0.911:0.845:0.78:0.652:0.668	0.771	0.911	0.8453333333333334
675	hsUFL1	Q96Q89	0.34:0.265:0.245:0.231:0.223	0.338:0.342:0.335:0.329:0.324	0.2608	0.3336	0.781775	8.32:18.48:20.08:17.33:23.92	17.626	0.723:0.384:0.331:0.422:0.203	0.412	0.723	0.5096666666666667
1275	hsDDRGK1	Q13233	0.291:0.259:0.258:0.24:0.232	0.341:0.331:0.328:0.32:0.324	0.256	0.3288	0.778589	9.2:11.2:12.33:16.69:16.3	13.144	0.693:0.627:0.589:0.444:0.457	0.562	0.693	0.6363333333333333
18	hsUFL1	Q96A23	0.484:0.388:0.378:0.195:0.18	0.474:0.437:0.434:0.375:0.372	0.325	0.4184	0.776769	6.4:10.62:9.96:19.42:24.48	14.176	0.787:0.646:0.668:0.353:0.184	0.527	0.787	0.7003333333333334
808	hsDDRGK1	Q96AZ1	0.632:0.544:0.358:0.231:0.133	0.553:0.524:0.477:0.446:0.444	0.3796	0.4888	0.776596	2.22:3.51:6.01:11.09:10.55	6.676	0.926:0.883:0.8:0.63:0.648	0.777	0.926	0.8696666666666667
854	hsDDRGK1	Q96QU1	0.249:0.253:0.243:0.244:0.224	0.343:0.316:0.318:0.29:0.301	0.2426	0.3136	0.773597	19.28:20.2:18.31:15.59:15.52	17.78	0.357:0.327:0.39:0.48:0.483	0.407	0.483	0.451
176	hsUFL1	Q9H211	0.476:0.388:0.334:0.284:0.224	0.503:0.459:0.442:0.428:0.378	0.3412	0.442	0.771946	3.8:7.03:7.33:9.98:15.7	8.768	0.873:0.766:0.756:0.667:0.477	0.708	0.873	0.7983333333333333
1513	hsDDRGK1	Q92945	0.199:0.164:0.157:0.142:0.136	0.213:0.216:0.203:0.201:0.202	0.1596	0.207	0.771014	12.77:16.56:18.55:22.38:23.69	18.79	0.574:0.448:0.382:0.254:0.21	0.374	0.574	0.46799999999999997
1257	hsDDRGK1	Q9UDT6	0.18:0.166:0.154:0.153:0.151	0.211:0.205:0.22:0.203:0.205	0.1608	0.2088	0.770115	16.94:19.69:25.38:27.28:26.61	23.18	0.435:0.344:0.154:0.091:0.113	0.227	0.435	0.311
623	hsUFL1	A4D161	0.503:0.415:0.34:0.17:0.136	0.475:0.437:0.413:0.351:0.357	0.3128	0.4066	0.769306	5.34:7.55:12.15:21.78:26.91	14.746	0.822:0.748:0.595:0.274:0.103	0.508	0.822	0.7216666666666667
334	hsUFL1	Q9UNH7	0.444:0.392:0.292:0.274:0.208	0.469:0.448:0.41:0.41:0.361	0.322	0.4196	0.767398	8.6:9.51:14.55:13.71:14.31	12.136	0.713:0.683:0.515:0.543:0.523	0.595	0.713	0.6463333333333333
928	hsDDRGK1	A0AUZ9	0.19:0.158:0.155:0.146:0.142	0.209:0.2:0.21:0.208:0.205	0.1582	0.2064	0.766473	11.46:21.12:24.66:24.5:26.34	21.616	0.618:0.296:0.178:0.183:0.122	0.279	0.618	0.36566666666666664
267	hsUFL1	Q7Z570	0.344:0.298:0.214:0.19:0.185	0.336:0.334:0.32:0.311:0.306	0.2462	0.3214	0.766024	3.26:6.17:10.24:14.56:22.52	11.35	0.891:0.794:0.659:0.515:0.249	0.622	0.891	0.7813333333333333
290	hsUFL1	Q9HCR9	0.442:0.323:0.32:0.317:0.293	0.482:0.444:0.433:0.437:0.417	0.339	0.4426	0.765929	6.11:12.51:12.64:11.2:13.93	11.278	0.796:0.583:0.579:0.627:0.536	0.624	0.796	0.6686666666666666
584	hsUFL1	P78316	0.381:0.332:0.317:0.266:0.187	0.43:0.399:0.401:0.371:0.34	0.2966	0.3882	0.764039	5.53:10.8:10.93:13.98:21.12	12.472	0.816:0.64:0.636:0.534:0.296	0.584	0.816	0.6973333333333334
1125	hsDDRGK1	Q9NUD7	0.206:0.199:0.189:0.174:0.145	0.245:0.242:0.233:0.249:0.226	0.1826	0.239	0.764017	5.91:6.23:8.41:8.9:10.9	8.07	0.803:0.792:0.72:0.703:0.637	0.731	0.803	0.7716666666666667
412	hsUFL1	Q9C0K0	0.365:0.338:0.242:0.229:0.188	0.378:0.375:0.35:0.341:0.345	0.2724	0.3578	0.761319	5.13:6.75:12.98:16.48:17.52	11.772	0.829:0.775:0.567:0.451:0.416	0.608	0.829	0.7236666666666667
364	hsUFL1	Q8N3Z6	0.414:0.337:0.305:0.172:0.167	0.368:0.356:0.412:0.353:0.355	0.279	0.3688	0.756508	2.53:6.77:4.34:18.56:21.64	10.768	0.916:0.774:0.855:0.381:0.279	0.641	0.916	0.8483333333333334
1214	hsDDRGK1	Q96JC9	0.343:0.276:0.182:0.135:0.134	0.309:0.311:0.28:0.261:0.256	0.214	0.2834	0.755116	3.52:6.32:13.42:14.34:17.33	10.986	0.883:0.789:0.553:0.522:0.422	0.634	0.883	0.7416666666666667
1247	hsDDRGK1	Q9NQV7	0.234:0.216:0.211:0.206:0.193	0.286:0.277:0.282:0.281:0.28	0.212	0.2812	0.753912	6.17:13.07:9.49:10.1:13.47	10.46	0.794:0.564:0.684:0.663:0.551	0.651	0.794	0.7136666666666667
461	hsUFL1	Q6ZNL6	0.282:0.273:0.252:0.195:0.191	0.315:0.342:0.326:0.302:0.305	0.2386	0.318	0.750314	9.93:12.55:18.11:21.95:27.62	18.032	0.669:0.582:0.396:0.268:0.079	0.399	0.669	0.549
880	hsDDRGK1	Q8WUU4	0.231:0.172:0.164:0.151:0.135	0.254:0.218:0.227:0.231:0.213	0.1706	0.2286	0.746282	9.79:12.2:13.79:15.41:17.38	13.714	0.674:0.593:0.54:0.486:0.421	0.543	0.674	0.6023333333333334
1163	hsDDRGK1	Q8N3Z6	0.282:0.18:0.143:0.144:0.137	0.252:0.236:0.236:0.226:0.239	0.1772	0.2378	0.745164	6.03:10.24:16.55:16.95:17.5	13.454	0.799:0.659:0.448:0.435:0.417	0.552	0.799	0.6353333333333333
1250	hsDDRGK1	Q9H307	0.249:0.23:0.205:0.18:0.126	0.29:0.275:0.273:0.256:0.236	0.198	0.266	0.744361	4.05:5.3:9.02:8.93:25.77	10.614	0.865:0.823:0.699:0.702:0.141	0.646	0.865	0.7966666666666666
536	hsUFL1	Q641Q2	0.273:0.262:0.224:0.215:0.189	0.323:0.309:0.304:0.305:0.324	0.2326	0.313	0.743131	10.02:11.19:14.82:15.5:22.95	14.896	0.666:0.627:0.506:0.483:0.235	0.503	0.666	0.5996666666666667
1298	hsDDRGK1	O95214	0.202:0.164:0.162:0.156:0.147	0.212:0.234:0.229:0.226:0.221	0.1662	0.2244	0.740642	11.44:14.39:14.26:14.83:16.02	14.188	0.619:0.52:0.525:0.506:0.466	0.527	0.619	0.5546666666666666
120	hsUFL1	O75362	0.43:0.237:0.235:0.194:0.175	0.378:0.347:0.328:0.336:0.328	0.2542	0.3434	0.740245	3.55:13.09:17.17:20.44:21.83	15.216	0.882:0.564:0.428:0.319:0.272	0.493	0.882	0.6246666666666667
4	hsUFL1	P0DMW2	0.373:0.347:0.338:0.328:0.313	0.469:0.447:0.462:0.461:0.458	0.3398	0.4594	0.73966	10.12:10.9:10.81:12.46:11.74	11.206	0.663:0.637:0.64:0.585:0.609	0.626	0.663	0.6466666666666667
1501	hsDDRGK1	Q86XN8	0.188:0.172:0.154:0.148:0.142	0.218:0.22:0.223:0.214:0.213	0.1608	0.2176	0.738971	13.73:15.12:18.11:15.56:19.5	16.404	0.542:0.496:0.396:0.481:0.35	0.453	0.542	0.5063333333333333
495	hsUFL1	Q86XE0	0.44:0.417:0.328:0.206:0.182	0.471:0.47:0.427:0.389:0.372	0.3146	0.4258	0.738845	9.99:8.77:12.31:19.53:22.69	14.658	0.667:0.708:0.59:0.349:0.244	0.511	0.708	0.655
822	hsDDRGK1	Q9H9L7	0.245:0.224:0.175:0.149:0.143	0.256:0.256:0.25:0.241:0.264	0.1872	0.2534	0.738753	8.52:10.12:12.69:11.82:13.07	11.244	0.716:0.663:0.577:0.606:0.564	0.625	0.716	0.6616666666666666
75	hsUFL1	Q460N5	0.245:0.225:0.222:0.217:0.21	0.317:0.309:0.29:0.292:0.312	0.2238	0.304	0.736184	19:26.53:25.97:22.73:26.38	24.122	0.367:0.116:0.134:0.242:0.121	0.196	0.367	0.24766666666666667
144	hsUFL1	Q96ID5	0.593:0.505:0.161:0.145:0.141	0.538:0.503:0.354:0.361:0.344	0.309	0.42	0.735714	1.88:3.65:23.88:26:27.95	16.672	0.937:0.878:0.204:0.133:0.068	0.444	0.937	0.673
885	hsDDRGK1	Q8IZ20	0.181:0.175:0.177:0.167:0.163	0.247:0.25:0.231:0.224:0.226	0.1726	0.2356	0.732598	14.2:12.61:15.41:15.7:16.83	14.95	0.527:0.58:0.486:0.477:0.439	0.502	0.58	0.531
337	hsUFL1	Q5VZV1	0.667:0.293:0.186:0.144:0.139	0.479:0.359:0.387:0.367:0.363	0.2858	0.391	0.730946	2.72:12.38:13.09:22.45:18.33	13.794	0.909:0.587:0.564:0.252:0.389	0.54	0.909	0.6866666666666666
452	hsUFL1	Q53GL7	0.33:0.234:0.207:0.204:0.186	0.332:0.319:0.31:0.317:0.313	0.2322	0.3182	0.72973	8.27:14.99:17.5:18.94:21.41	16.222	0.724:0.5:0.417:0.369:0.286	0.459	0.724	0.5469999999999999
1064	hsDDRGK1	Q9P2Y4	0.182:0.156:0.153:0.15:0.144	0.216:0.22:0.215:0.214:0.214	0.157	0.2158	0.727525	15.91:19.17:18.86:19.56:20.3	18.76	0.47:0.361:0.371:0.348:0.323	0.375	0.47	0.40066666666666667
190	hsUFL1	Q12768	0.481:0.478:0.464:0.441:0.369	0.621:0.608:0.62:0.625:0.599	0.4466	0.6146	0.726651	1.8:2.11:2.53:2.12:2.83	2.278	0.94:0.93:0.916:0.929:0.906	0.924	0.94	0.933
1050	hsDDRGK1	O15169	0.198:0.183:0.176:0.165:0.16	0.251:0.24:0.236:0.245:0.243	0.1764	0.243	0.725926	10.49:14.69:18.41:16.17:19.7	15.892	0.65:0.51:0.386:0.461:0.343	0.47	0.65	0.5403333333333333
1118	hsDDRGK1	O15243	0.188:0.166:0.163:0.158:0.151	0.236:0.238:0.216:0.235:0.214	0.1652	0.2278	0.725198	15.86:16.14:15.55:15.48:18.38	16.282	0.471:0.462:0.482:0.484:0.387	0.457	0.484	0.479
101	hsUFL1	P30622	0.26:0.243:0.212:0.204:0.199	0.314:0.309:0.31:0.304:0.308	0.2236	0.309	0.723625	9.14:14.72:17.89:16.47:27.31	17.106	0.695:0.509:0.404:0.451:0.09	0.43	0.695	0.5516666666666666
1142	hsDDRGK1	P49458	0.246:0.252:0.189:0.16:0.124	0.302:0.25:0.278:0.258:0.255	0.1942	0.2686	0.723008	11.23:12.24:13.75:14.81:19.56	14.318	0.626:0.592:0.542:0.506:0.348	0.523	0.626	0.5866666666666667
106	hsUFL1	P49790	0.247:0.241:0.225:0.216:0.202	0.309:0.3:0.311:0.33:0.317	0.2262	0.3134	0.721761	17.66:15.11:20.61:18.88:17.47	17.946	0.411:0.496:0.313:0.371:0.418	0.402	0.496	0.44166666666666665
1527	hsDDRGK1	Q9UEG4	0.161:0.154:0.157:0.16:0.159	0.212:0.24:0.224:0.213:0.207	0.1582	0.2192	0.721715	24.08:23.72:23.19:22.09:23.27	23.27	0.197:0.209:0.227:0.264:0.224	0.224	0.264	0.23833333333333334
260	hsUFL1	Q6P3R8	0.352:0.259:0.253:0.198:0.184	0.396:0.354:0.357:0.323:0.303	0.2492	0.3466	0.718984	6.58:11.4:13.17:19.5:20.34	14.198	0.781:0.62:0.561:0.35:0.322	0.527	0.781	0.654
765	hsUFL1	Q4J6C6	0.528:0.439:0.406:0.21:0.166	0.488:0.491:0.49:0.486:0.478	0.3498	0.4866	0.718866	3.8:5.37:5.66:14.8:26.39	11.204	0.873:0.821:0.811:0.507:0.12	0.627	0.873	0.835
1197	hsDDRGK1	Q96PY6	0.261:0.242:0.231:0.191:0.183	0.314:0.313:0.312:0.303:0.301	0.2216	0.3086	0.718082	7.5:15.38:14.55:18.25:22.08	15.552	0.75:0.487:0.515:0.392:0.264	0.482	0.75	0.584
970	hsDDRGK1	Q9H2Y7	0.253:0.243:0.23:0.22:0.213	0.325:0.323:0.32:0.328:0.32	0.2318	0.3232	0.717203	16.67:13.61:20.88:22.58:23.28	19.404	0.444:0.546:0.304:0.247:0.224	0.353	0.546	0.43133333333333335
468	hsUFL1	O43414	0.303:0.291:0.272:0.256:0.162	0.355:0.366:0.363:0.354:0.353	0.2568	0.3582	0.716918	2.24:3.23:3.62:4.78:14.61	5.696	0.925:0.892:0.879:0.841:0.513	0.81	0.925	0.8986666666666667
1414	hsDDRGK1	Q96AE4	0.157:0.149:0.15:0.149:0.136	0.205:0.216:0.203:0.203:0.207	0.1482	0.2068	0.716634	18.47:20.17:21.56:21.02:24.66	21.176	0.384:0.328:0.281:0.299:0.178	0.294	0.384	0.337
874	hsDDRGK1	Q460N5	0.247:0.248:0.243:0.229:0.207	0.329:0.321:0.333:0.348:0.309	0.2348	0.328	0.715854	14.84:17.62:21.78:19.38:20.5	18.824	0.505:0.413:0.274:0.354:0.317	0.373	0.505	0.424
363	hsUFL1	Q9BT73	0.443:0.4:0.316:0.177:0.164	0.441:0.42:0.415:0.405:0.415	0.3	0.4192	0.715649	10.92:10.8:13.98:22.75:23.75	16.44	0.636:0.64:0.534:0.242:0.208	0.452	0.64	0.6033333333333334
423	hsUFL1	O95170	0.476:0.311:0.184:0.176:0.166	0.449:0.379:0.337:0.338:0.339	0.2626	0.3684	0.712812	3.18:12.4:22.89:24.31:25.97	17.75	0.894:0.587:0.237:0.19:0.134	0.408	0.894	0.5726666666666667
232	hsUFL1	A4D1P6	0.352:0.28:0.259:0.238:0.171	0.395:0.372:0.364:0.364:0.332	0.26	0.3654	0.711549	5.73:10.7:14.12:14.99:24.91	14.09	0.809:0.643:0.529:0.5:0.17	0.53	0.809	0.6603333333333333
1583	hsDDRGK1	Q6ZV73	0.409:0.238:0.234:0.193:0.177	0.378:0.382:0.345:0.335:0.32	0.2502	0.352	0.710795	4.68:6.8:8.18:23.28:21.11	12.81	0.844:0.773:0.727:0.224:0.296	0.573	0.844	0.7813333333333333
820	hsDDRGK1	Q3KNV8	0.348:0.334:0.107:0.108:0.106	0.346:0.326:0.249:0.245:0.247	0.2006	0.2826	0.709837	3.48:4.26:21.83:24.34:23.2	15.422	0.884:0.858:0.272:0.189:0.227	0.486	0.884	0.6713333333333333
577	hsUFL1	Q6Q0C0	0.513:0.365:0.184:0.164:0.16	0.512:0.432:0.339:0.338:0.332	0.2772	0.3906	0.709677	1.6:7.4:22.86:24.28:25.05	16.238	0.947:0.753:0.238:0.191:0.165	0.459	0.947	0.646
645	hsUFL1	Q5QJU3	0.377:0.325:0.243:0.214:0.204	0.403:0.405:0.359:0.377:0.377	0.2726	0.3842	0.709526	12.32:10.05:17.88:18.36:20.41	15.804	0.589:0.665:0.404:0.388:0.32	0.473	0.665	0.5526666666666666
127	hsUFL1	P01112	0.801:0.239:0.159:0.152:0.149	0.544:0.404:0.394:0.386:0.387	0.3	0.423	0.70922	2.1:17.09:15:23.25:17.92	15.072	0.93:0.43:0.5:0.225:0.403	0.498	0.93	0.62
721	hsUFL1	Q9UKA1	0.424:0.297:0.224:0.216:0.181	0.468:0.399:0.364:0.323:0.345	0.2684	0.3798	0.706688	2.76:8.65:16.08:14:21.59	12.616	0.908:0.712:0.464:0.533:0.28	0.579	0.908	0.7176666666666667
398	hsUFL1	Q96PY6	0.279:0.222:0.201:0.183:0.184	0.297:0.314:0.292:0.307:0.304	0.2138	0.3028	0.706077	8.71:18.52:18.38:25.42:25.69	19.344	0.71:0.383:0.387:0.153:0.144	0.355	0.71	0.49333333333333335
726	hsUFL1	Q5VZP5	0.31:0.225:0.207:0.183:0.182	0.32:0.312:0.306:0.314:0.316	0.2214	0.3136	0.705995	5.94:15.79:18.86:25.14:23.17	17.78	0.802:0.474:0.371:0.162:0.228	0.407	0.802	0.549
401	hsUFL1	Q9Y4E1	0.251:0.225:0.217:0.212:0.211	0.308:0.305:0.323:0.334:0.313	0.2232	0.3166	0.704991	13.27:13.98:13.05:13.66:10.56	12.904	0.558:0.534:0.565:0.545:0.648	0.57	0.648	0.5903333333333334
484	hsUFL1	Q7RTP6	0.316:0.278:0.226:0.224:0.214	0.36:0.361:0.363:0.362:0.351	0.2516	0.3594	0.700056	11.52:15.16:26.56:26.61:23.16	20.602	0.616:0.495:0.115:0.113:0.228	0.313	0.616	0.44633333333333336
448	hsUFL1	Q9NQV7	0.313:0.252:0.18:0.179:0.163	0.321:0.324:0.306:0.298:0.306	0.2174	0.311	0.699035	9.4:13.98:14.09:16.45:23.77	15.538	0.687:0.534:0.53:0.452:0.208	0.482	0.687	0.5836666666666667
487	hsUFL1	Q9BVK8	0.409:0.298:0.265:0.26:0.128	0.388:0.402:0.386:0.389:0.387	0.272	0.3904	0.696721	11.36:14.66:18.03:17.2:27.81	17.812	0.621:0.511:0.399:0.427:0.073	0.406	0.621	0.5196666666666667
1033	hsDDRGK1	Q2TB10	0.154:0.151:0.148:0.147:0.146	0.215:0.216:0.218:0.21:0.214	0.1492	0.2146	0.695247	14.23:17.42:18.31:18.81:19.28	17.61	0.526:0.419:0.39:0.373:0.357	0.413	0.526	0.445
259	hsUFL1	Q6ZWJ8	0.228:0.225:0.223:0.22:0.204	0.321:0.318:0.32:0.316:0.308	0.22	0.3166	0.694883	20.83:20.09:22.25:23.12:26.36	22.53	0.306:0.33:0.258:0.229:0.121	0.249	0.33	0.298
776	hsUFL1	Q9NSC2	0.254:0.239:0.217:0.207:0.196	0.322:0.322:0.314:0.316:0.328	0.2226	0.3204	0.694757	8.91:8.23:12.91:14.52:18.16	12.546	0.703:0.726:0.57:0.516:0.395	0.582	0.726	0.6663333333333333
146	hsUFL1	Q8N3Y1	0.359:0.345:0.289:0.258:0.227	0.448:0.434:0.429:0.413:0.404	0.2956	0.4256	0.694549	11.02:11.52:14.5:15.16:19.48	14.336	0.633:0.616:0.517:0.495:0.351	0.522	0.633	0.5886666666666667
256	hsUFL1	O60749	0.477:0.353:0.242:0.154:0.152	0.478:0.431:0.361:0.359:0.356	0.2756	0.397	0.694207	6.68:10.96:9.1:19.73:22.31	13.756	0.777:0.635:0.697:0.342:0.256	0.541	0.777	0.703
1283	hsDDRGK1	Q7RTP6	0.292:0.29:0.263:0.261:0.227	0.386:0.393:0.383:0.379:0.38	0.2666	0.3842	0.693909	13.66:10.7:16.67:17.92:22.08	16.206	0.545:0.643:0.444:0.403:0.264	0.46	0.643	0.544
745	hsUFL1	Q9Y664	0.565:0.484:0.173:0.17:0.162	0.533:0.489:0.406:0.412:0.402	0.3108	0.4484	0.693131	7.6:9.51:22.03:23.83:22.75	17.144	0.747:0.683:0.266:0.206:0.242	0.429	0.747	0.5653333333333334
107	hsUFL1	Q9UKJ3	0.256:0.219:0.216:0.202:0.191	0.329:0.308:0.304:0.32:0.304	0.2168	0.313	0.692652	14.15:13.66:16.19:26.48:27.36	19.568	0.528:0.545:0.46:0.117:0.088	0.348	0.545	0.511
683	hsUFL1	P51956	0.494:0.238:0.202:0.165:0.164	0.458:0.355:0.344:0.342:0.326	0.2526	0.365	0.692055	5.41:17.91:18.5:19.92:22.36	16.82	0.82:0.403:0.383:0.336:0.255	0.439	0.82	0.5353333333333333
850	hsDDRGK1	O94851	0.27:0.262:0.264:0.241:0.236	0.364:0.377:0.366:0.367:0.366	0.2546	0.368	0.691848	17.34:13.78:12.42:20.88:21.16	17.116	0.422:0.541:0.586:0.304:0.295	0.429	0.586	0.5163333333333333
1474	hsDDRGK1	Q96Q89	0.262:0.238:0.228:0.224:0.215	0.34:0.341:0.342:0.336:0.336	0.2334	0.339	0.688496	15.74:18.88:21.44:18.62:20.98	19.132	0.475:0.371:0.285:0.379:0.301	0.362	0.475	0.4083333333333333
40	hsUFL1	Q6T310	0.633:0.193:0.188:0.178:0.17	0.463:0.392:0.386:0.374:0.372	0.2724	0.3974	0.685455	2.76:15.16:12.3:14.92:17.08	12.444	0.908:0.495:0.59:0.503:0.431	0.585	0.908	0.667
270	hsUFL1	O60391	0.268:0.229:0.215:0.208:0.18	0.319:0.323:0.319:0.328:0.32	0.22	0.3218	0.683654	9.13:12.2:18.27:20.39:20.2	16.038	0.696:0.593:0.391:0.32:0.327	0.465	0.696	0.5599999999999999
661	hsUFL1	Q9Y5X3	0.334:0.333:0.29:0.254:0.172	0.427:0.429:0.401:0.398:0.37	0.2766	0.405	0.682963	11.09:12.92:14.72:17.23:22.08	15.608	0.63:0.569:0.509:0.426:0.264	0.48	0.63	0.5693333333333334
861	hsDDRGK1	O43169	0.259:0.211:0.193:0.178:0.174	0.322:0.3:0.294:0.289:0.283	0.203	0.2976	0.682124	7.32:9.74:9.95:11.11:11.54	9.932	0.756:0.675:0.668:0.63:0.615	0.669	0.756	0.6996666666666667
563	hsUFL1	Q9GZV8	0.326:0.314:0.277:0.165:0.168	0.398:0.389:0.38:0.355:0.315	0.25	0.3674	0.680457	5.19:5.51:9.42:21.28:18.08	11.896	0.827:0.816:0.686:0.291:0.397	0.603	0.827	0.7763333333333333
985	hsDDRGK1	Q5JPE7	0.323:0.319:0.317:0.279:0.232	0.445:0.447:0.433:0.425:0.411	0.294	0.4322	0.680241	7.18:6.62:8.41:7.95:7.77	7.586	0.761:0.779:0.72:0.735:0.741	0.747	0.779	0.7603333333333333
637	hsUFL1	Q9H628	0.37:0.355:0.268:0.238:0.135	0.416:0.406:0.4:0.411:0.378	0.2732	0.4022	0.679264	7.33:9.02:12.25:16.23:24.86	13.938	0.756:0.699:0.592:0.459:0.171	0.535	0.756	0.6823333333333333
1058	hsDDRGK1	Q6ZWJ8	0.244:0.232:0.228:0.215:0.214	0.34:0.334:0.336:0.333:0.329	0.2266	0.3344	0.677632	15.33:16.81:16.14:20.31:21.3	17.978	0.489:0.44:0.462:0.323:0.29	0.401	0.489	0.46366666666666667
441	hsUFL1	Q9H694	0.289:0.224:0.203:0.197:0.194	0.33:0.337:0.321:0.323:0.325	0.2214	0.3272	0.67665	6.92:13.48:18.44:15.91:13.59	13.668	0.769:0.551:0.385:0.47:0.547	0.544	0.769	0.6223333333333334
273	hsUFL1	O60315	0.27:0.257:0.202:0.192:0.185	0.33:0.328:0.32:0.335:0.323	0.2212	0.3272	0.676039	10.84:14.44:23.56:23.5:24.14	19.296	0.639:0.519:0.215:0.217:0.195	0.357	0.639	0.45833333333333337
1104	hsDDRGK1	Q8N511	0.232:0.165:0.173:0.133:0.114	0.287:0.264:0.207:0.229:0.222	0.1634	0.2418	0.675765	5.66:10.15:9.02:14.98:14.19	10.8	0.811:0.662:0.699:0.501:0.527	0.64	0.811	0.724
1352	hsDDRGK1	O95684	0.176:0.178:0.153:0.152:0.149	0.251:0.243:0.233:0.234:0.239	0.1616	0.24	0.673333	8.81:8.86:13.27:11.46:9.38	10.356	0.706:0.705:0.558:0.618:0.687	0.655	0.706	0.6993333333333334
804	hsDDRGK1	Q16099	0.448:0.432:0.245:0.195:0.176	0.48:0.458:0.454:0.421:0.409	0.2992	0.4444	0.673267	3.45:2.82:12.64:10.72:15.17	8.96	0.885:0.906:0.579:0.643:0.494	0.701	0.906	0.8113333333333334
342	hsUFL1	Q5JR59	0.219:0.202:0.204:0.202:0.197	0.302:0.311:0.301:0.309:0.305	0.2048	0.3056	0.670157	16.58:12.02:21.94:16.83:16.08	16.69	0.447:0.599:0.269:0.439:0.464	0.444	0.599	0.5033333333333333
595	hsUFL1	Q9Y426	0.268:0.242:0.229:0.227:0.177	0.347:0.34:0.349:0.335:0.339	0.2286	0.342	0.668421	4.79:9.25:10.12:8.47:14.86	9.498	0.84:0.692:0.663:0.718:0.505	0.683	0.84	0.75
689	hsUFL1	Q9BYE9	0.248:0.2:0.193:0.192:0.188	0.301:0.313:0.304:0.306:0.308	0.2042	0.3064	0.666449	10.18:24.23:24.52:25.91:26.72	22.312	0.661:0.192:0.183:0.136:0.109	0.256	0.661	0.3453333333333333
388	hsUFL1	Q9NPD8	0.608:0.408:0.141:0.138:0.134	0.514:0.465:0.396:0.384:0.386	0.2858	0.429	0.6662	3.58:11.55:25:24.92:25.03	18.016	0.881:0.615:0.167:0.169:0.166	0.399	0.881	0.555
318	hsUFL1	Q9H4Q4	0.364:0.291:0.279:0.242:0.232	0.445:0.427:0.43:0.409:0.403	0.2816	0.4228	0.666036	3.71:4.93:7.79:13.57:13.29	8.658	0.876:0.836:0.74:0.548:0.557	0.711	0.876	0.8173333333333334
573	hsUFL1	Q9ULJ3	0.299:0.244:0.18:0.176:0.174	0.327:0.319:0.329:0.321:0.316	0.2146	0.3224	0.665633	6.92:14.8:27.03:23.62:26.09	19.692	0.769:0.507:0.099:0.213:0.13	0.344	0.769	0.49633333333333335
432	hsUFL1	Q10469	0.27:0.256:0.249:0.245:0.245	0.383:0.382:0.389:0.374:0.373	0.253	0.3802	0.665439	3.71:4.3:5.2:4.82:5.88	4.782	0.876:0.857:0.827:0.839:0.804	0.841	0.876	0.8573333333333333
1002	hsDDRGK1	Q56VL3	0.219:0.161:0.156:0.14:0.118	0.248:0.248:0.225:0.23:0.246	0.1588	0.2394	0.663325	11.72:13.3:15.72:15.19:15.91	14.368	0.609:0.557:0.476:0.494:0.47	0.521	0.609	0.5533333333333333
